fri_20_1,2284,3300,3455,3840,-1,-1,-1,-1
fri_20_2,7470,9000,-1,-1,-1,-1,-1,-1
fri_23_0,7195,9000,-1,-1,-1,-1,-1,-1
fri_23_1,1,465,2775,4100,-1,-1,-1,-1
mon_0_1,5130,6600,8000,8151,-1,-1,-1,-1
mon_2_1,150,276,-1,-1,-1,-1,-1,-1
mon_9_1,8520,9000,-1,-1,-1,-1,-1,-1
mon_10_1,4775,5160,-1,-1,-1,-1,-1,-1
mon_10_2,3350,3760,-1,-1,-1,-1,-1,-1
mon_10_3,1700,2100,6300,7275,7480,8700,8800,9000
mon_11_1,1835,5805,-1,-1,-1,-1,-1,-1
mon_11_2,360,635,2670,3240,-1,-1,-1,-1
mon_13_1,2330,2530,-1,-1,-1,-1,-1,-1
mon_13_2,4980,5450,-1,-1,-1,-1,-1,-1
mon_13_3,5460,5700,-1,-1,-1,-1,-1,-1
mon_14_1,1,9000,-1,-1,-1,-1,-1,-1
mon_19_1,2890,4635,-1,-1,-1,-1,-1,-1
tue_10_0,3960,4382,-1,-1,-1,-1,-1,-1
tue_11_0,2160,3600,-1,-1,-1,-1,-1,-1
tue_13_1,2032,2421,-1,-1,-1,-1,-1,-1
tue_21_1,2100,3000,-1,-1,-1,-1,-1,-1
tue_22_0,540,1060,4586,5010,-1,-1,-1,-1
sat_6_1,720,1030,-1,-1,-1,-1,-1,-1
sat_6_2,430,4400,-1,-1,-1,-1,-1,-1
sat_7_1,7280,7600,7945,8965,-1,-1,-1,-1
sat_7_2,5156,5300,-1,-1,-1,-1,-1,-1
sat_8_1,8302,8730,-1,-1,-1,-1,-1,-1
sat_12_1,810,2000,-1,-1,-1,-1,-1,-1
sat_12_2,3070,3500,-1,-1,-1,-1,-1,-1
sat_12_3,3710,3925,-1,-1,-1,-1,-1,-1
sat_12_4,325,540,6980,7500,-1,-1,-1,-1
sat_19_1,7600,8420,-1,-1,-1,-1,-1,-1
sat_23_1,7643,9000,-1,-1,-1,-1,-1,-1
sun_3_1,6300,9000,-1,-1,-1,-1,-1,-1
sun_3_2,2700,5850,-1,-1,-1,-1,-1,-1
sun_4_1,1737,1862,-1,-1,-1,-1,-1,-1
sun_12_1,1500,7800,-1,-1,-1,-1,-1,-1
sun_12_2,3850,4200,-1,-1,-1,-1,-1,-1
sun_12_3,2100,3000,-1,-1,-1,-1,-1,-1
sun_18_1,2100,3000,-1,-1,-1,-1,-1,-1
